Timestamp	soundtime	trialvec	LeftPupil	RightPupil
1374603156313224			3.718582153	3.798355103
1374603156329848			3.693405151	3.780822754
1374603156346472			3.668533325	3.778701782
1374603156363097			3.682907104	3.757659912
1374603156379847			3.672012329	3.771911621
1374603156396472			3.66355896	3.739013672
1374603156413093			3.652877808	3.725204468
1374603156429718			3.559844971	3.684432983
1374603156446348			-1	-1
1374603156463092			-1	-1
1374603156479717			-1	-1
1374603156496341			-1	-1
1374603156512965			-1	-1
1374603156529652			-1	-1
1374603156546318			-1	-1
1374603156562954			-1	-1
1374603156579620			-1	-1
1374603156596290			-1	-1
1374603156612956			-1	-1
1374603156629584			-1	-1
1374603156646209			-1	-1
1374603156662875			-1	-1
1374603156679583			3.659393311	3.709274292
1374603156696208			3.673233032	3.72593689
1374603156712832			3.648544312	3.714233398
1374603156729457			3.674301147	3.719223022
1374603156746217			3.669769287	3.757965088
1374603156762831			3.681259155	3.736877441
1374603156779453			3.677505493	3.715682983
1374603156796077			3.680969238	3.711532593
1374603156812703			3.700180054	3.719955444
1374603156829452			3.703857422	3.727386475
1374603156846076			3.713287354	3.735137939
1374603156862701			3.739318848	3.747421265
1374603156879325			3.738021851	3.765014648
